id;name;vol;container;location;Observation;date
1;Broomcresol groen;5 g;1;Kast 1;null;12/04/2025
2;Calcium Chloride;500 g;2;Kast 1;null;12/04/2025
3;Methyloranje;25 g;1;Kast 1;null;12/04/2025
4;Methylrood;10 g;1;Kast 1;null;12/04/2025
5;Phenolphthalein;100 g;1;Kast 1;null;12/04/2025
6;Potassium sulfate;500 g;5;Kast 1;null;12/04/2025
7;Sodium acetate;500 g;1;Kast 1;null;12/04/2025
8;Sodium carbonate;500 g;1;Kast 1;null;12/04/2025
9;Sodium chloride;500 g;1;Kast 1;null;12/04/2025
10;Sodium Chloride;500 g;1;Kast 1;null;12/04/2025
11;Sodium Hydroxide ;500 g;2;Kast 1;null;12/04/2025
12;Sodium Iodide;250 g;1;Kast 1;null;12/04/2025
13;Tris (hydroxymethyl) aminomethane  ;100 g;1;Kast 1;null;12/04/2025
14;Benzoyl Peroxide;100 g;1;Kast 2;null;12/04/2025
15;Bio brandspiritus;1000 ml;1;Kast 2;null;12/04/2025
16;Formaldehyde diethyl acetal;500 ml;2;Kast 2;null;12/04/2025
17;Methyl methacrylate;500 ml;1;Kast 2;null;12/04/2025
18;Potassium Nitrate;500 g;2;Kast 2;null;12/04/2025
19;Styrene;5 mg;1;Kast 2;null;12/04/2025
20;1.6-Diaminohexane;5 g;2;Kast 3;null;12/04/2025
21;Adipyl Chloride;50 ml;1;Kast 3;null;12/04/2025
22;N,N-Dimethylaniline;100 mL;1;Kast 4;null;12/04/2025
23;Phenol;100 g;1;Kast 4;De inhoud van het Phenol is niet meer in korrelvorm. Het is gesmolten.;12/04/2025
24;0.1 M Silvernitrate ;100 g;1;Kast 5;null;12/04/2025
25;1-Bromo-2-methylpropane;500 g;1;Kast 5;null;12/04/2025
26;2-Bromo-2-methylpropane;100 g;1;Kast 5;null;12/04/2025
27;2-Bromo-2-methylpropane;250 mL;2;Kast 5;null;12/04/2025
28;2-Chloro-2-methylpropane;250 mL;2;Kast 5;null;12/04/2025
29;2-Propanol;1000 mL;1;Kast 5;null;12/04/2025
30;Acetic acid 96 %;1000 mL;2;Kast 5;null;12/04/2025
31;Acetone;1000 mL;1;Kast 5;null;12/04/2025
32;Dichloromethane;1000 mL;1;Kast 5;null;12/04/2025
33;Ethanol 95.5 % ;1000 mL;1;Kast 5;null;12/04/2025
34;Hydrochloric acid;1000 mL;1;Kast 5;null;12/04/2025
35;Isoamyl Alcohol;1000 mL;1;Kast 5;null;12/04/2025
36;Nitric Acid;2500 mL;3;Kast 5;null;12/04/2025
37;Ortho-phosphoric acid;1000 mL;1;Kast 5;null;12/04/2025
38;Petroleum Ether;1000 mL;1;Kast 5;null;12/04/2025
39;Sulfuric Acid 96%;1000 mL;1;Kast 5;null;12/04/2025
40;Isopropyl rubbing Alcohol 70%;473 mL;2;null;null;12/04/2025
41;oxalic acid solution;Voor 1000 mL;1;null;null;12/04/2025
42;Tafelazijn 9%;1000 mL;1;null;null;12/04/2025
43;sodium hydroxide pellets;500 g;1;null;null;12/04/2025
44;dikke bleek;750 mL;1;null;null;12/04/2025
45;zonnebloemolie;800 mL;1;null;null;12/04/2025
46;Marienburg Rum 90%;70 cl;1;null;null;12/04/2025
47;Kalium permanganaat;null;1;null;null;12/04/2025
48;ijzersulfaat;null;1;null;null;12/04/2025
49;Kcl;null;1;null;null;12/04/2025
50;Fe;null;1;null;null;12/04/2025
51;Hydrogen Peroxide;946 mL;1;null;null;12/04/2025
52;Oxalic acid solution (for 1000 mL);null;1;null;null;12/04/2025
53;Indicator Phenolthalein & Ethanol;null;1;null;null;12/04/2025
54;Indicator Bromocresol groen & Ethanol;null;1;null;null;12/04/2025
55;Indicator Methyl oranje & Ethanol;null;1;null;null;12/04/2025
56;Indicator Methyl rood & Ethanol;null;1;null;null;12/04/2025
57;Pure Essential Oils (een set van 6);10 mL;1;null;null;12/04/2025
